filename,extension,size_mb,is_scanned,strategy,pii_fields
22e478c8-8649-4e1d-afd4-25607d98a5b1ALRE016 just_registro_09-12-24.pdf,.pdf,3.565640449523926,False,PyMuPDF,2
2f038919-c0fa-4bef-8773-881e11de96c3IMS333_CEE_V1.pdf,.pdf,0.26889991760253906,False,PyMuPDF,2
456cc0b8-864f-4fe3-b6ca-66057419901dDelta B6 3A_CEE_V1.pdf,.pdf,0.22461414337158203,False,PyMuPDF,2
1d7be0c4-6011-4633-be9a-86aff007397fC311 justificante_registro_solicitud_24-07-2023.pdf,.pdf,1.0111885070800781,False,PyMuPDF,2
de84a4cc-83a6-4b34-8298-45ec5c7151ae2 (8).pdf,.pdf,5.454117774963379,False,PyMuPDF,1
8f5f0982-e257-4717-9dd9-e2e12fbb37f33. Certf coste final fd.pdf,.pdf,0.1384601593017578,False,PyMuPDF,1
7d917a52-ddb7-40ce-b4e5-33ad3a2170951. LRE341 CIE fd.pdf,.pdf,0.3142967224121094,False,PyMuPDF,3
3d14d563-8fe4-481b-8cda-6e0a400f14cd3. AU085-3 Solicitud fd.pdf,.pdf,0.35434913635253906,False,PyMuPDF,2
1e2e40f8-c225-4105-8932-cdefa4fab23aC348 2o CEE fd.pdf,.pdf,0.2677278518676758,False,PyMuPDF,2
61721505-cec5-47e3-9431-74abbeac2a22J01. Informe justificativo-188.pdf,.pdf,0.190399169921875,False,PyMuPDF,1
4bdc6909-bb69-42e9-9ff1-d790f162f34dANEXO V RELLENO C287.pdf,.pdf,0.2723274230957031,False,PyMuPDF,3
67db62e0-8ce5-472e-a0ee-740dc25cebffJ01P2-4_fd.pdf,.pdf,0.2638378143310547,False,PyMuPDF,1
e29dc780-2006-4dc9-9180-3cf41c88538eJ01. Informe justificativo-204.pdf,.pdf,0.1903705596923828,False,PyMuPDF,1
bec0ac3a-a77a-40ec-be9c-78595ac540dfA5B_CEE_V2_Fd.pdf,.pdf,0.30940818786621094,False,PyMuPDF,2
419d029f-697e-47c4-9e26-2b5d394fc710ANEXO V RELLENO-2.pdf,.pdf,0.27254295349121094,False,PyMuPDF,3
00a0e9e6-54a8-45e4-af15-25383f6ee28b1. CIE IRVE_fdo.pdf,.pdf,0.2630748748779297,False,PyMuPDF,3
20f1541b-d8cb-4717-8bee-0592473dca714. CIE AU085-9 BTNI-420396.08 25.pdf,.pdf,0.23293781280517578,False,PyMuPDF,3
8ca6c917-f76f-413c-a5e6-a6d6b0adc58fIMS2022 justificante_registro_solicitud 03-05-2022.pdf,.pdf,1.016550064086914,False,PyMuPDF,2
1e149776-4a9e-4b0f-bc0a-d28cb12ca1e42. MTD Hector.docx,.docx,0.11323833465576172,False,python-docx,0
fb6e5b17-49bd-470f-8b17-c0ffac5ffc184. DR Técnico-2-4.pdf,.pdf,0.9694719314575195,False,PyMuPDF,2
4e445bcd-581b-4773-ba90-488604312b4e8.2. Solicitud Subvención.pdf,.pdf,4.354485511779785,False,PyMuPDF,5
83b58d3d-107c-4870-b9b7-84c0bb00a90eG4C_CEE_V2.pdf,.pdf,0.25548267364501953,False,PyMuPDF,2
bc1d0d50-d14d-4396-85e3-1d543417a97c1. Solicitud_coope_fase 2.pdf,.pdf,1.575200080871582,False,PyMuPDF,2
5d645a98-f5ad-45eb-b3b4-bdf041e5a52c5. C190 Solicitud_IRVE.pdf,.pdf,1.001535415649414,False,PyMuPDF,2
c8781c77-b962-4467-a814-2d0dd317be581. CIE.pdf,.pdf,0.7886533737182617,False,PyMuPDF,3
ee40d0f7-cbd1-4777-a566-97e7e9e5eff21. Solicitud_coope_fase 2.pdf,.pdf,1.5762577056884766,False,PyMuPDF,2
51bcdf16-1895-4bde-9ff3-2c8ee069f7841. LRE074 CIE IRVE fd.pdf,.pdf,0.2645864486694336,False,PyMuPDF,3
912db509-5c77-4044-8936-c4b9949b93922. MTD Hector.pdf,.pdf,0.37331104278564453,False,PyMuPDF,1
3f13a244-955f-4dd6-b0d8-647a679b08fd5. LRE077 Solicitud IRVE.pdf,.pdf,1.0000982284545898,False,PyMuPDF,2
